"Record ID","Centre Code","ECDA code","Object create date/time","Object last modified date/time"
"2685572882","WDC07","NT0574","2022-09-01 12:33","2024-07-30 00:10"
"2685572883","CVC","NT0440","2022-09-01 12:33","2024-07-30 00:17"
"2685572880","BC3","NT0526","2022-09-01 12:33","2024-07-30 00:20"
"2685572881","KTP","WP1102","2022-09-01 12:33","2024-07-29 20:36"
"2685572886","BM2","NT0544","2022-09-01 12:33","2024-07-30 00:17"
"2685636887","HC4","NT0490","2022-09-01 12:33","2024-07-30 00:11"
"2685572887","CC3","NT0482","2022-09-01 12:33","2024-07-30 00:13"
"2685572884","UPC","PT8508","2022-09-01 12:33","2024-07-24 14:49"
"2685572885","TMC","NT0280","2022-09-01 12:33","2024-07-30 00:11"
"2685713939","FRC01","NT0565","2022-09-01 12:33","2024-07-30 00:21"
"2685636891","EFC02","NT0564","2022-09-01 12:33","2024-07-30 00:21"
"2685636890","AV2","NT0483","2022-09-01 12:33","2024-07-30 00:11"
"2685636889","BL3","NT0552","2022-09-01 12:33","2024-07-30 00:13"
